mapping,ordering,global_masking_rate,entropy,A->C,A->G,A->T,C->A,C->G,C->T,G->A,G->C,G->T,T->A,T->C,T->G
110,15,0.402865,3.786088,0.417188,0.332812,0.466406,0.417188,0.371094,0.457031,0.332812,0.371094,0.372656,0.466406,0.457031,0.372656
110,15_001,0.438802,3.792677,0.446875,0.445312,0.381250,0.446875,0.428906,0.568750,0.445312,0.428906,0.361719,0.381250,0.568750,0.361719
110,15_010,0.525391,3.240914,0.455469,0.591406,0.604688,0.455469,0.425000,0.432813,0.591406,0.425000,0.642969,0.604688,0.432813,0.642969
110,15_011,0.485417,3.498156,0.405469,0.396094,0.375781,0.405469,0.566406,0.580469,0.396094,0.566406,0.588281,0.375781,0.580469,0.588281
110,15_100,0.521745,3.233174,0.568750,0.444531,0.589844,0.568750,0.435156,0.658594,0.444531,0.435156,0.433594,0.589844,0.658594,0.433594
110,15_101,0.457422,3.738268,0.527344,0.435156,0.518750,0.527344,0.422656,0.509375,0.435156,0.422656,0.331250,0.518750,0.509375,0.331250
110,15_110,0.560417,3.109283,0.621094,0.506250,0.607031,0.621094,0.497656,0.639062,0.506250,0.497656,0.491406,0.607031,0.639062,0.491406
110,15_codon,0.554818,3.091257,0.492188,0.635938,0.611719,0.492188,0.478906,0.522656,0.635938,0.478906,0.587500,0.611719,0.522656,0.587500
110,16,0.396354,3.795654,0.394531,0.375000,0.440625,0.394531,0.363281,0.398438,0.375000,0.363281,0.406250,0.440625,0.398438,0.406250
110,16_001,0.429688,3.843023,0.321094,0.392188,0.535156,0.321094,0.461719,0.400000,0.392188,0.461719,0.467969,0.535156,0.400000,0.467969
110,16_010,0.515365,3.289524,0.697656,0.414062,0.570312,0.697656,0.422656,0.577344,0.414062,0.422656,0.410156,0.570312,0.577344,0.410156
110,16_011,0.488281,3.452022,0.402344,0.549219,0.614062,0.402344,0.391406,0.390625,0.549219,0.391406,0.582031,0.614062,0.390625,0.582031
110,16_100,0.521354,3.264709,0.562500,0.442187,0.569531,0.562500,0.440625,0.673438,0.442187,0.440625,0.439844,0.569531,0.673438,0.439844
110,16_101,0.497005,3.466745,0.522656,0.405469,0.673438,0.522656,0.424219,0.545312,0.405469,0.424219,0.410937,0.673438,0.545312,0.410937
110,16_110,0.564323,3.052600,0.516406,0.535156,0.610938,0.516406,0.596875,0.550781,0.535156,0.596875,0.575781,0.610938,0.550781,0.575781
110,16_codon,0.542839,3.171391,0.601562,0.603125,0.491406,0.601562,0.567969,0.486719,0.603125,0.567969,0.506250,0.491406,0.486719,0.506250
110,17,0.389844,3.839353,0.385938,0.369531,0.423438,0.385938,0.386719,0.348437,0.369531,0.386719,0.425000,0.423438,0.348437,0.425000
110,17_001,0.433333,3.775296,0.357031,0.433594,0.575000,0.357031,0.423438,0.372656,0.433594,0.423438,0.438281,0.575000,0.372656,0.438281
110,17_010,0.512760,3.296814,0.424219,0.425000,0.421875,0.424219,0.642188,0.579688,0.425000,0.642188,0.583594,0.421875,0.579688,0.583594
110,17_011,0.489974,3.444548,0.552344,0.391406,0.561719,0.552344,0.400781,0.658594,0.391406,0.400781,0.375000,0.561719,0.658594,0.375000
110,17_100,0.515625,3.293535,0.439063,0.567969,0.639844,0.439063,0.436719,0.439063,0.567969,0.436719,0.571094,0.639844,0.439063,0.571094
110,17_101,0.438542,3.807465,0.339063,0.447656,0.511719,0.339063,0.459375,0.407813,0.447656,0.459375,0.465625,0.511719,0.407813,0.465625
110,17_110,0.549349,3.190350,0.598437,0.483594,0.610156,0.598437,0.502344,0.598437,0.483594,0.502344,0.503125,0.610156,0.598437,0.503125
110,17_codon,0.533984,3.245796,0.514062,0.589844,0.595313,0.514062,0.477344,0.510938,0.589844,0.477344,0.516406,0.595313,0.510938,0.516406
110,18,0.428776,3.651784,0.443750,0.403906,0.465625,0.443750,0.388281,0.450781,0.403906,0.388281,0.420312,0.465625,0.450781,0.420312
110,18_001,0.417448,3.870007,0.531250,0.436719,0.378125,0.531250,0.379687,0.332812,0.436719,0.379687,0.446094,0.378125,0.332812,0.446094
110,18_010,0.520312,3.278354,0.456250,0.457812,0.444531,0.456250,0.675781,0.540625,0.457812,0.675781,0.546875,0.444531,0.540625,0.546875
110,18_011,0.450781,3.646037,0.463281,0.389062,0.432031,0.463281,0.466406,0.556250,0.389062,0.466406,0.397656,0.432031,0.556250,0.397656
110,18_100,0.524609,3.256577,0.461719,0.659375,0.567969,0.461719,0.457031,0.457812,0.659375,0.457031,0.543750,0.567969,0.457812,0.543750
110,18_101,0.454036,3.629070,0.505469,0.443750,0.546875,0.505469,0.339063,0.497656,0.443750,0.339063,0.391406,0.546875,0.497656,0.391406
110,18_110,0.548958,3.130645,0.498437,0.510938,0.498437,0.498437,0.632031,0.562500,0.510938,0.632031,0.591406,0.498437,0.562500,0.591406
110,18_codon,0.531771,3.220357,0.592187,0.567969,0.521094,0.592187,0.537500,0.516406,0.567969,0.537500,0.455469,0.521094,0.516406,0.455469
110,19,0.407943,3.750019,0.342187,0.398438,0.377344,0.342187,0.432031,0.390625,0.398438,0.432031,0.507031,0.377344,0.390625,0.507031
110,19_001,0.431771,3.816472,0.430469,0.453125,0.366406,0.430469,0.425781,0.550781,0.453125,0.425781,0.364062,0.366406,0.550781,0.364062
110,19_010,0.513672,3.279747,0.434375,0.428906,0.410937,0.434375,0.582031,0.580469,0.428906,0.582031,0.645312,0.410937,0.580469,0.645312
110,19_011,0.480078,3.471647,0.425000,0.419531,0.423438,0.425000,0.457812,0.460938,0.419531,0.457812,0.693750,0.423438,0.460938,0.693750
110,19_100,0.513542,3.273450,0.564063,0.649219,0.435937,0.564063,0.576562,0.429688,0.649219,0.576562,0.425781,0.435937,0.429688,0.425781
110,19_101,0.441667,3.770417,0.367969,0.425781,0.449219,0.367969,0.596094,0.375000,0.425781,0.596094,0.435937,0.449219,0.375000,0.435937
110,19_110,0.559505,3.110780,0.617188,0.623437,0.491406,0.617188,0.628125,0.493750,0.623437,0.628125,0.503125,0.491406,0.493750,0.503125
110,19_codon,0.539193,3.198423,0.540625,0.594531,0.578125,0.540625,0.522656,0.476562,0.594531,0.522656,0.522656,0.578125,0.476562,0.522656
110,1_001,0.427344,3.847204,0.394531,0.328125,0.543750,0.394531,0.446875,0.462500,0.328125,0.446875,0.388281,0.543750,0.462500,0.388281
110,1_010,0.510938,3.294651,0.589844,0.412500,0.665625,0.589844,0.419531,0.566406,0.412500,0.419531,0.411719,0.665625,0.566406,0.411719
110,1_011,0.465104,3.593056,0.492188,0.404687,0.636719,0.492188,0.414062,0.467187,0.404687,0.414062,0.375781,0.636719,0.467187,0.375781
110,1_100,0.529687,3.239439,0.482812,0.567187,0.564063,0.482812,0.478906,0.462500,0.567187,0.478906,0.622656,0.564063,0.462500,0.622656
110,1_101,0.450130,3.785219,0.327344,0.486719,0.425000,0.327344,0.453906,0.463281,0.486719,0.453906,0.544531,0.425000,0.463281,0.544531
110,1_110,0.564193,3.076297,0.615625,0.493750,0.652344,0.615625,0.525000,0.608594,0.493750,0.525000,0.489844,0.652344,0.608594,0.489844
110,1_codon,0.533594,3.186860,0.518750,0.516406,0.614844,0.518750,0.481250,0.554688,0.516406,0.481250,0.515625,0.614844,0.554688,0.515625
110,2,0.385547,3.869894,0.400781,0.403906,0.378906,0.400781,0.387500,0.380469,0.403906,0.387500,0.361719,0.378906,0.380469,0.361719
110,20,0.416016,3.746221,0.417188,0.428906,0.469531,0.417188,0.371875,0.388281,0.428906,0.371875,0.420312,0.469531,0.388281,0.420312
110,20_001,0.427083,3.872780,0.540625,0.329688,0.396875,0.540625,0.380469,0.452344,0.329688,0.380469,0.462500,0.396875,0.452344,0.462500
110,20_010,0.523828,3.253979,0.562500,0.657813,0.451562,0.562500,0.560937,0.446875,0.657813,0.560937,0.463281,0.451562,0.446875,0.463281
110,20_011,0.463542,3.581902,0.571875,0.487500,0.400000,0.571875,0.475781,0.438281,0.487500,0.475781,0.407813,0.400000,0.438281,0.407813
110,20_100,0.520443,3.267945,0.472656,0.555469,0.623437,0.472656,0.452344,0.459375,0.555469,0.452344,0.559375,0.623437,0.459375,0.559375
110,20_101,0.454167,3.748550,0.403125,0.466406,0.492969,0.403125,0.368750,0.533594,0.466406,0.368750,0.460156,0.492969,0.533594,0.460156
110,20_110,0.544531,3.092782,0.581250,0.546094,0.486719,0.581250,0.589844,0.532031,0.546094,0.589844,0.531250,0.486719,0.532031,0.531250
110,20_codon,0.542318,3.212771,0.575781,0.625000,0.495313,0.575781,0.563281,0.495313,0.625000,0.563281,0.499219,0.495313,0.495313,0.499219
110,21,0.406901,3.765612,0.479688,0.432813,0.375781,0.479688,0.422656,0.385156,0.432813,0.422656,0.345313,0.375781,0.385156,0.345313
110,21_001,0.431510,3.799835,0.538281,0.427344,0.378906,0.538281,0.427344,0.373437,0.427344,0.427344,0.443750,0.378906,0.373437,0.443750
110,21_010,0.524609,3.255443,0.599219,0.666406,0.430469,0.599219,0.586719,0.437500,0.666406,0.586719,0.427344,0.430469,0.437500,0.427344
110,21_011,0.476432,3.559527,0.566406,0.585156,0.392188,0.566406,0.571875,0.385156,0.585156,0.571875,0.357812,0.392188,0.385156,0.357812
110,21_100,0.534375,3.261699,0.470313,0.664062,0.560937,0.470313,0.471094,0.477344,0.664062,0.471094,0.562500,0.560937,0.477344,0.562500
110,21_101,0.482292,3.459211,0.415625,0.435156,0.465625,0.415625,0.510156,0.582812,0.435156,0.510156,0.484375,0.465625,0.582812,0.484375
110,21_110,0.563411,3.060965,0.580469,0.589063,0.530469,0.580469,0.562500,0.596094,0.589063,0.562500,0.521875,0.530469,0.596094,0.521875
110,21_codon,0.547656,3.170427,0.600781,0.626563,0.477344,0.600781,0.608594,0.494531,0.626563,0.608594,0.478125,0.477344,0.494531,0.478125
110,22,0.402344,3.819610,0.456250,0.368750,0.418750,0.456250,0.400000,0.427344,0.368750,0.400000,0.342969,0.418750,0.427344,0.342969
110,22_001,0.419141,3.869052,0.417188,0.292188,0.427344,0.417188,0.453906,0.498437,0.292188,0.453906,0.425781,0.427344,0.498437,0.425781
110,22_010,0.536849,3.215299,0.592187,0.646875,0.461719,0.592187,0.591406,0.465625,0.646875,0.591406,0.463281,0.461719,0.465625,0.463281
110,22_011,0.453646,3.633246,0.368750,0.564844,0.550000,0.368750,0.391406,0.394531,0.564844,0.391406,0.452344,0.550000,0.394531,0.452344
110,22_100,0.526823,3.262430,0.454688,0.471094,0.455469,0.454688,0.577344,0.633594,0.471094,0.577344,0.568750,0.455469,0.633594,0.568750
110,22_101,0.469141,3.652918,0.367188,0.392188,0.460156,0.367188,0.534375,0.531250,0.392188,0.534375,0.529687,0.460156,0.531250,0.529687
110,22_110,0.548958,3.166359,0.549219,0.545312,0.486719,0.549219,0.614062,0.531250,0.545312,0.614062,0.567187,0.486719,0.531250,0.567187
110,22_codon,0.511328,3.318453,0.475000,0.687500,0.521094,0.475000,0.467187,0.405469,0.687500,0.467187,0.511719,0.521094,0.405469,0.511719
110,23,0.382943,3.873207,0.383594,0.389844,0.378906,0.383594,0.364844,0.439844,0.389844,0.364844,0.340625,0.378906,0.439844,0.340625
110,23_001,0.432422,3.794496,0.382031,0.557031,0.446875,0.382031,0.353906,0.433594,0.557031,0.353906,0.421094,0.446875,0.433594,0.421094
110,23_010,0.514193,3.296425,0.420312,0.405469,0.414844,0.420312,0.653125,0.597656,0.405469,0.653125,0.593750,0.414844,0.597656,0.593750
110,23_011,0.473828,3.500077,0.710156,0.411719,0.455469,0.710156,0.414844,0.457031,0.411719,0.414844,0.393750,0.455469,0.457031,0.393750
110,23_100,0.525521,3.256319,0.579688,0.453125,0.586719,0.579688,0.444531,0.642188,0.453125,0.444531,0.446875,0.586719,0.642188,0.446875
110,23_101,0.434766,3.828082,0.369531,0.444531,0.453906,0.369531,0.546875,0.361719,0.444531,0.546875,0.432031,0.453906,0.361719,0.432031
110,23_110,0.548438,3.151244,0.597656,0.560156,0.563281,0.597656,0.557031,0.529687,0.560156,0.557031,0.482812,0.563281,0.529687,0.482812
